Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role
39,Ian Callen,1978–1982,5,3,2,6,3*,6,0/0,180,2,148,5,Mar-24,29.6,0,2,0,[42],Batsman
40,Wayne Clark,1978,2,0,0,0,,,0/0,100,3,61,3,Feb-39,20.33,0,0,0,[43],Batsman
41,Rick Darling,1978–1982,18,18,1,363,74,21.35,0/1,0,0,0,0,,,0,6,0,[44],Batsman
42,Trevor Laughlin,1978–1979,6,5,1,105,74,26.25,0/1,308,3,224,8,Mar-54,28,0,0,0,[45],Batsman
43,Steve Rixon,1978–1985,6,6,3,40,20*,13.33,0/0,0,0,0,0,,,0,9,2,[46],Wicketkeeper
44,Bob Simpson,1978,2,2,0,36,23,18,0/0,102,0,95,2,Feb-30,47.5,0,4,0,[47],Batsman
45,Peter Toohey,1978–1979,5,4,2,105,54*,52.5,0/1,0,0,0,0,,,0,0,0,[48],Batsman
46,Graeme Wood,1978–1989,83,77,11,"2,219",114*,33.62,03-Nov,0,0,0,0,,,0,17,0,[49],Batsman
47,Graham Yallop,1978–1984,30,27,6,823,66*,39.19,0/7,138,0,119,3,Feb-28,39.66,0,5,0,[50],Batsman
48,Bruce Yardley,1978–1983,7,4,0,58,28,14.5,0/0,198,5,130,7,Mar-28,18.57,0,1,0,[51],Batsman
49,Allan Border,1979–1994,273,252,39,"6,524",127*,30.62,Mar-39,"2,661",11,"2,071",73,Mar-20,28.36,0,127,0,[52],Batsman
50,Phil Carlson,1979,4,2,0,11,11,5.5,0/0,168,3,70,2,Jan-21,35,0,0,0,[53],Batsman
51,John Maclean,1979,2,1,0,11,11,11,0/0,0,0,0,0,,,0,0,0,[54],Batsman
52,Andrew Hilditch,1979–1985,8,8,0,226,72,28.25,0/1,0,0,0,0,,,0,1,0,[55],Batsman
53,Rodney Hogg,1979–1985,71,35,20,137,22,9.13,0/0,"3,677",57,"2,418",85,Apr-29,28.44,0,8,0,[56],Bowler
54,Kevin Wright,1979,5,2,0,29,23,14.5,0/0,0,0,0,0,,,0,8,0,[57],Batsman
55,Jeff Moss,1979,1,1,0,7,7,7,0/0,0,0,0,0,,,0,2,0,[58],Batsman
56,Graeme Porter,1979,2,1,0,3,3,3,0/0,108,5,33,3,Feb-13,11,0,1,0,[59],Batsman
57,Bruce Laird,1979–1982,23,23,3,594,117*,29.7,01-Feb,0,0,0,0,,,0,5,0,[60],Batsman
58,Julien Wiener,1979–1980,7,7,0,140,50,20,0/1,24,0,34,0,,,0,2,0,[61],Batsman
59,Dav Whatmore,1980,1,1,0,2,2,2,0/0,0,0,0,0,,,0,0,0,[62],Batsman
60,John Dyson,1980–1983,29,27,4,755,79,32.82,0/4,0,0,0,0,,,0,12,0,[63],Batsman
61,Trevor Chappell,1980–1983,20,13,0,229,110,17.61,1/0,736,4,538,19,Mar-31,28.31,0,8,0,[64],Batsman
62,Shaun Graf,1980–1981,11,6,0,24,8,4,0/0,522,4,345,8,Feb-23,43.12,0,1,0,[65],Batsman
63,Geoff Lawson,1980–1989,79,52,18,378,33*,11.11,0/0,"4,259",94,"2,592",88,Apr-26,29.45,0,18,0,[66],Bowler
64,Martin Kent,1981,5,5,1,78,33,19.5,0/0,0,0,0,0,,,0,4,0,[67],Batsman
65,Graeme Beard,1981,2,0,0,0,,,0/0,112,3,70,4,Feb-20,17.5,0,0,0,[68],Batsman
66,Terry Alderman,1981–1991,65,18,6,32,9*,2.66,0/0,"3,371",75,"2,056",88,May-17,23.36,2,29,0,[69],Bowler
67,Dirk Wellham,1981–1987,17,17,2,379,97,25.26,0/1,0,0,0,0,,,0,8,0,[70],Batsman
68,Greg Ritchie,1982–1987,44,42,7,959,84,27.4,0/6,0,0,0,0,,,0,9,0,[71],Batsman
69,Wayne B. Phillips,1982–1986,48,41,6,852,75*,24.34,0/6,0,0,0,0,,,0,42,7,[72],Wicketkeeper
70,Carl Rackemann,1983–1991,52,18,6,34,9*,2.83,0/0,"2,791",51,"1,833",82,May-16,22.35,1,6,0,[73],Bowler
71,Kepler Wessels[74],1983–1985,54,51,3,"1,740",107,36.25,Jan-14,737,2,655,18,Feb-16,36.38,0,19,0,[75],Batsman
72,John Maguire,1983–1984,23,11,5,42,14*,7,0/0,"1,009",12,769,19,Mar-61,40.47,0,2,0,[76],Batsman
73,Tom Hogan,1983–1984,16,12,4,72,27,9,0/0,917,12,574,23,Apr-33,24.95,0,10,0,[77],Bowler
74,Ken MacLeay,1983–1987,16,13,2,139,41,12.63,0/0,857,8,626,15,Jun-39,41.73,1,2,0,[78],Batsman
75,Steve Smith,1983–1985,28,24,2,861,117,39.13,02-Aug,7,0,5,0,,,0,8,0,[79],Batsman
76,Mike Whitney,1983–1993,38,13,7,40,9*,6.66,0/0,"2,106",43,"1,249",46,Apr-34,27.15,0,11,0,[80],Bowler
77,Roger Woolley,1983,4,3,2,31,16,31,0/0,0,0,0,0,,,0,1,1,[81],Wicketkeeper
78,Greg Matthews,1984–1993,59,50,13,619,54,16.72,0/1,"2,808",21,"2,004",57,Mar-27,35.15,0,23,0,[82],Bowler
79,Dean Jones,1984–1994,164,161,25,"6,068",145,44.61,Jul-46,106,0,81,3,Feb-34,27,0,54,0,[83],Batsman
80,David Boon,1984–1995,181,177,16,"5,964",122,37.04,May-37,82,0,86,0,,,0,45,0,[84],Batsman
81,Murray Bennett,1984–1985,8,4,1,9,6*,3,0/0,408,6,275,4,Feb-27,68.75,0,1,0,[85],Batsman
82,Craig McDermott,1985–1996,138,78,17,432,37,7.08,0/0,"7,461",101,"5,018",203,May-44,24.71,1,27,0,[86],Bowler
83,Simon O'Donnell,1985–1991,87,64,15,"1,242",74*,25.34,0/9,"4,350",49,"3,102",108,May-13,28.72,1,22,0,[87],AllRounder
84,Bob Holland,1985,2,0,0,0,,,0/0,126,2,99,2,Feb-49,49.5,0,0,0,[88],Batsman
85,Rod McCurdy,1985,11,6,2,33,13*,8.25,0/0,515,8,375,12,Mar-19,31.25,0,1,0,[89],Batsman
86,Robbie Kerr,1985,4,4,1,97,87*,32.33,0/1,0,0,0,0,,,0,1,0,[90],Batsman
87,Simon Davis,1986–1988,39,11,7,20,6,5,0/0,"2,016",46,"1,133",44,03-Oct,25.75,0,5,0,[91],Bowler
88,Dave Gilbert,1986,14,8,3,39,8,7.8,0/0,684,4,552,18,May-46,30.66,1,3,0,[92],Batsman
89,Bruce Reid,1986–1992,61,21,8,49,10,3.76,0/0,"3,250",53,"2,203",63,May-53,34.96,1,6,0,[93],Bowler
