Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role,Selected
97,Mike Veletta,1987–1989,20.0,19.0,4.0,484,68*,32.26,0/2,0,0.0,0,0.0,,,0.0,8.0,0.0,[101],Batsman,0
98,Tom Moody,1987–1999,76.0,64.0,12.0,"1,211",89,23.28,0/10,"2,797",31.0,"2,014",52.0,Mar-25,38.73,0.0,21.0,0.0,[102],Bowler,0
99,Tim May,1987–1995,47.0,12.0,8.0,39,15,9.75,0/0,"2,504",17.0,"1,772",39.0,Mar-19,45.43,0.0,3.0,0.0,[103],Bowler,0
100,Andrew Zesers,1987,2.0,2.0,2.0,10,8*,,0/0,90,1.0,74,1.0,Jan-37,74.0,0.0,1.0,0.0,[104],Batsman,0
101,Tony Dodemaide,1988–1993,24.0,16.0,7.0,124,30,13.77,0/0,"1,327",30.0,753,36.0,May-21,20.91,1.0,7.0,0.0,[105],Bowler,0
102,Ian Healy,1988–1997,168.0,120.0,36.0,"1,764",56,21.0,0/4,0,0.0,0,0.0,,,0.0,194.0,39.0,[106],Wicketkeeper,0
103,Jamie Siddons,1988,1.0,1.0,0.0,32,32,32.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[107],Batsman,0
104,Merv Hughes,1988–1993,33.0,17.0,8.0,100,20,11.11,0/0,"1,639",22.0,"1,115",38.0,Apr-44,29.34,0.0,6.0,0.0,[108],Bowler,0
105,Mark Waugh,1988–2002,244.0,236.0,20.0,"8,500",173,39.35,18/50,"3,687",11.0,"2,938",85.0,May-24,34.56,1.0,108.0,0.0,[109],AllRounder,0
106,Greg Campbell,1989–1990,12.0,3.0,1.0,6,4*,3.0,0/0,613,9.0,404,18.0,Mar-17,22.44,0.0,4.0,0.0,[110],Batsman,0
107,Mark Taylor,1989–1997,113.0,110.0,1.0,"3,514",105,32.23,Jan-28,0,0.0,0,0.0,,,0.0,56.0,0.0,[111],Batsman,0
108,Paul Reiffel,1992–1999,92.0,57.0,21.0,503,58,13.97,0/1,"4,732",85.0,"3,096",106.0,Apr-13,29.2,0.0,25.0,0.0,[112],Bowler,0
109,Damien Martyn,1992–2006,208.0,182.0,51.0,"5,346",144*,40.8,May-37,794,2.0,704,12.0,Feb-21,58.66,0.0,69.0,0.0,[113],Batsman,0
110,Shane Warne[114],1993–2003,193.0,106.0,28.0,"1,016",55,13.02,0/1,"10,600",110.0,"7,514",291.0,May-33,25.82,1.0,80.0,0.0,[115],Bowler,0
111,Matthew Hayden[114],1993–2008,160.0,154.0,15.0,"6,131",181*,44.1,Oct-36,6,0.0,18,0.0,,,0.0,68.0,0.0,[116],Batsman,0
112,Brendon Julian,1993–1999,25.0,17.0,0.0,224,35,13.17,0/0,"1,146",11.0,997,22.0,Mar-40,45.31,0.0,8.0,0.0,[117],AllRounder,0
113,Glenn McGrath[114],1993–2007,249.0,67.0,38.0,115,11,3.96,0/0,"12,928",279.0,"8,354",380.0,Jul-15,21.98,7.0,36.0,0.0,[118],Bowler,0
114,Michael Slater,1993–1997,42.0,42.0,1.0,987,73,24.07,0/9,12,1.0,11,0.0,,,0.0,9.0,0.0,[119],Batsman,0
115,Damien Fleming,1994–2001,88.0,31.0,18.0,152,29,11.69,0/0,"4,619",62.0,"3,402",134.0,May-36,25.38,1.0,14.0,0.0,[120],Bowler,0
116,Michael Bevan,1994–2004,232.0,196.0,67.0,"6,912",108*,53.58,Jun-46,"1,966",4.0,"1,655",36.0,Mar-36,45.97,0.0,69.0,0.0,[121],Batsman,0
117,Justin Langer,1994–1997,8.0,7.0,2.0,160,36,32.0,0/0,0,0.0,0,0.0,,,0.0,2.0,1.0,[122],Batsman,0
118,Jo Angel,1994–1995,3.0,1.0,0.0,0,0,0.0,0/0,162,3.0,113,4.0,Feb-47,28.25,0.0,0.0,0.0,[123],Batsman,0
119,Gavin Robertson,1994–1998,13.0,7.0,4.0,45,15,15.0,0/0,597,1.0,430,8.0,Mar-29,53.75,0.0,3.0,0.0,[124],Batsman,0
120,Phil Emery,1994,1.0,1.0,1.0,11,11*,,0/0,0,0.0,0,0.0,,,0.0,3.0,0.0,[125],Batsman,0
121,Stuart Law,1994–1999,54.0,51.0,5.0,"1,237",110,26.89,01-Jul,807,3.0,635,12.0,Feb-22,52.91,0.0,12.0,0.0,[126],Batsman,0
122,Greg Blewett,1995–1999,32.0,30.0,3.0,551,57*,20.4,0/2,749,3.0,646,14.0,02-Jun,46.14,0.0,7.0,0.0,[127],Batsman,0
123,Ricky Ponting[114],1995–2012,374.0,364.0,39.0,"13,589",164,41.81,29/82,150,0.0,104,3.0,01-Dec,34.66,0.0,159.0,0.0,[128],Batsman,0
124,Shane Lee,1995–2001,45.0,35.0,8.0,477,47,17.66,0/0,"1,706",14.0,"1,245",48.0,May-33,25.93,1.0,23.0,0.0,[129],Bowler,0
125,Michael Kasprowicz,1995–2005,43.0,13.0,9.0,74,28*,18.5,0/0,"2,225",28.0,"1,674",67.0,May-45,24.98,2.0,13.0,0.0,[130],Bowler,0
126,Brad Hogg,1996–2008,123.0,65.0,26.0,790,71*,20.25,0/2,"5,564",37.0,"4,188",156.0,May-32,26.84,2.0,36.0,0.0,[131],Bowler,0
127,Jason Gillespie,1996–2005,97.0,39.0,16.0,289,44*,12.56,0/0,"5,144",79.0,"3,611",142.0,May-22,25.42,3.0,10.0,0.0,[132],Bowler,0
128,Darren Lehmann,1996–2005,117.0,101.0,22.0,"3,078",119,38.96,Apr-17,"1,793",3.0,"1,445",52.0,04-Jul,27.78,0.0,26.0,0.0,[133],AllRounder,0
129,Adam Gilchrist[114],1996–2008,286.0,278.0,11.0,"9,595",172,35.93,16/55,0,0.0,0,0.0,,,0.0,416.0,54.0,[134],Wicketkeeper,0
130,Andy Bichel,1997–2004,67.0,36.0,13.0,471,64,20.47,0/1,"3,257",28.0,"2,463",78.0,Jul-20,31.57,2.0,19.0,0.0,[135],Bowler,0
131,Anthony Stuart,1997,3.0,1.0,0.0,1,1,1.0,0/0,180,2.0,109,8.0,May-26,13.62,1.0,2.0,0.0,[136],Batsman,0
132,Adam Dale,1997–2000,30.0,12.0,8.0,78,15*,19.5,0/0,"1,596",34.0,979,32.0,Mar-18,30.59,0.0,11.0,0.0,[137],Bowler,0
133,Michael Di Venuto,1997,9.0,9.0,0.0,241,89,26.77,0/2,0,0.0,0,0.0,,,0.0,1.0,0.0,[138],Batsman,0
134,Matthew Elliott,1997,1.0,1.0,0.0,1,1,1.0,0/0,0,0.0,0,0.0,,,0.0,0.0,0.0,[139],Batsman,0
135,Ian Harvey,1997–2004,73.0,51.0,11.0,715,48*,17.87,0/0,"3,279",29.0,"2,577",85.0,Apr-16,30.31,0.0,17.0,0.0,[140],AllRounder,0
136,Paul Wilson,1997–1998,11.0,5.0,2.0,4,2,1.33,0/0,562,6.0,450,13.0,Mar-39,34.61,0.0,1.0,0.0,[141],Batsman,0
137,Jimmy Maher,1998–2003,26.0,20.0,3.0,438,95,25.76,0/1,0,0.0,0,0.0,,,0.0,18.0,0.0,[142],Batsman,0
138,Brad Young,1998–1999,6.0,3.0,1.0,31,18,15.5,0/0,234,0.0,251,1.0,Jan-26,251.0,0.0,2.0,0.0,[143],Batsman,0
139,Andrew Symonds,1998–2009,198.0,161.0,33.0,"5,088",156,39.75,Jun-30,"5,935",30.0,"4,955",133.0,May-18,37.25,1.0,82.0,0.0,[144],AllRounder,0
140,Brett Lee,2000–2012,221.0,110.0,44.0,1176,59,17.81,0/3,"11,185",138.0,"8,877",380.0,May-22,23.36,9.0,54.0,0.0,[145],Bowler,0
141,Stuart MacGill,2000,3.0,2.0,1.0,1,1,1.0,0/0,180,4.0,105,6.0,Apr-19,17.5,0.0,2.0,0.0,[146],Batsman,0
142,Nathan Bracken,2001–2009,116.0,35.0,18.0,199,21*,11.7,0/0,"5,759",91.0,"4,240",174.0,May-47,24.36,2.0,26.0,0.0,[147],Bowler,0
143,Simon Katich,2001–2006,45.0,42.0,5.0,"1,324",107*,35.78,01-Sep,0,0.0,0,0.0,,,0.0,13.0,0.0,[148],Batsman,0
144,Brad Haddin,2001–2015,126.0,115.0,16.0,"3,122",110,31.53,Feb-16,0,0.0,0,0.0,,,0.0,170.0,11.0,[149],Wicketkeeper,0
145,Brad Williams,2002–2004,25.0,6.0,4.0,27,13*,13.5,0/0,"1,203",19.0,814,35.0,May-22,23.25,2.0,4.0,0.0,[150],Bowler,0
146,Ryan Campbell,2002,2.0,2.0,0.0,54,38,27.0,0/0,0,0.0,0,0.0,,,0.0,4.0,1.0,[151],Wicketkeeper,0
147,Nathan Hauritz,2002–2011,58.0,32.0,17.0,336,53*,22.4,0/1,"2,724",12.0,"2,152",63.0,Apr-29,34.15,0.0,24.0,0.0,[152],Bowler,0
148,Shane Watson,2002–2015,190.0,169.0,27.0,"5,757",185*,40.54,Sep-33,"6,466",35.0,"5,342",168.0,Apr-36,31.79,0.0,64.0,0.0,[153],AllRounder,0
149,Michael Clarke,2003–2015,245.0,223.0,44.0,"7,981",130,44.58,Aug-58,"2,585",7.0,"2,146",57.0,May-35,37.64,1.0,106.0,0.0,[154],Batsman,0
150,Michael Hussey,2004–2012,185.0,157.0,44.0,"5,442",109*,48.15,Mar-39,240,1.0,235,2.0,Jan-22,117.5,0.0,105.0,0.0,[155],Batsman,0
151,James Hopes,2005–2010,84.0,61.0,8.0,"1,326",63*,25.01,0/3,"3,157",32.0,"2,384",67.0,May-14,35.58,1.0,25.0,0.0,[156],AllRounder,0
152,Cameron White,2005–2018,91.0,77.0,16.0,"2,072",105,33.96,02-Nov,331,2.0,351,12.0,03-May,29.25,0.0,37.0,0.0,[157],Batsman,0
153,Stuart Clark,2005–2009,39.0,12.0,7.0,69,16*,13.8,0/0,"1,829",18.0,"1,477",53.0,Apr-54,27.86,0.0,10.0,0.0,[158],Bowler,0
154,Brad Hodge,2005–2007,25.0,21.0,2.0,575,123,30.26,01-Mar,66,0.0,51,1.0,Jan-17,51.0,0.0,16.0,0.0,[159],Batsman,0
155,Mick Lewis,2005–2006,7.0,1.0,1.0,4,4*,,0/0,341,1.0,391,7.0,Mar-56,55.85,0.0,1.0,0.0,[160],Batsman,0
156,Mitchell Johnson,2005–2015,153.0,91.0,32.0,951,73*,16.11,0/2,"7,489",72.0,"6,038",239.0,Jun-31,25.26,3.0,35.0,0.0,[161],Bowler,0
157,Brett Dorey,2006,4.0,1.0,0.0,2,2,2.0,0/0,162,2.0,146,2.0,01-Dec,73.0,0.0,0.0,0.0,[162],Batsman,0
158,Phil Jaques,2006–2007,6.0,6.0,0.0,125,94,20.83,0/1,0,0.0,0,0.0,,,0.0,3.0,0.0,[163],Batsman,0
159,Dan Cullen,2006,5.0,1.0,1.0,2,2*,,0/0,213,4.0,147,2.0,Feb-25,73.5,0.0,2.0,0.0,[164],Batsman,0
160,Mark Cosgrove,2006,3.0,3.0,0.0,112,74,37.33,0/1,30,0.0,13,1.0,01-Jan,13.0,0.0,0.0,0.0,[165],Batsman,0
161,Ben Hilfenhaus,2007–2012,25.0,11.0,8.0,29,16,9.66,0/0,"1,216",16.0,"1,075",29.0,May-33,37.06,1.0,10.0,0.0,[166],Bowler,0
162,Shaun Tait,2007–2011,35.0,7.0,5.0,25,11,12.5,0/0,"1,688",11.0,"1,461",62.0,Apr-39,23.56,0.0,8.0,0.0,[167],Bowler,0
163,Adam Voges,2007–2013,31.0,28.0,9.0,870,112*,45.78,01-Apr,301,1.0,276,6.0,01-Mar,46.0,0.0,7.0,0.0,[168],Batsman,0
164,Ashley Noffke,2008,1.0,0.0,0.0,0,,,0/0,54,0.0,46,1.0,Jan-46,46.0,0.0,0.0,0.0,[169],Batsman,0
165,Shaun Marsh,2008–2019,73.0,72.0,4.0,"2,773",151,40.77,Jul-15,0,0.0,0,0.0,,,0.0,22.0,0.0,[170],Batsman,0
166,Luke Ronchi[171],2008,4.0,2.0,0.0,76,64,38.0,0/1,0,0.0,0,0.0,,,0.0,5.0,2.0,[172],Wicketkeeper,0
167,David Hussey,2008–2013,69.0,61.0,6.0,"1,796",111,32.65,Jan-14,802,1.0,698,18.0,Apr-21,38.77,0.0,29.0,0.0,[173],Batsman,0
168,Brett Geeves,2008–2009,2.0,2.0,2.0,10,10*,,0/0,90,0.0,78,3.0,02-Nov,26.6,0.0,1.0,0.0,[174],Batsman,0
169,Ryan Harris,2009–2012,21.0,13.0,7.0,48,21,8.0,0/0,"1,031",13.0,832,44.0,May-19,18.9,3.0,6.0,0.0,[175],Bowler,0
170,David Warner,2009–2023,161.0,159.0,6.0,"6,932",179,45.3,22/33,6,0.0,8,0.0,,,0.0,71.0,0.0,[176],Batsman,0
171,Callum Ferguson,2009–2011,30.0,25.0,9.0,663,71*,41.43,0/5,0,0.0,0,0.0,,,0.0,7.0,0.0,[177],Batsman,0
172,Peter Siddle,2009–2019,20.0,6.0,3.0,31,10*,10.33,0/0,901,10.0,743,17.0,Mar-55,43.7,0.0,1.0,0.0,[178],Batsman,0
173,Ben Laughlin,2009–2009,5.0,1.0,1.0,1,1*,,0/0,224,1.0,219,4.0,Jan-28,54.75,0.0,2.0,0.0,[179],Batsman,0
174,Shane Harwood,2009,1.0,1.0,1.0,0,0*,,0/0,60,0.0,57,2.0,Feb-57,28.5,0.0,0.0,0.0,[180],Batsman,0
175,Doug Bollinger,2009–2011,39.0,8.0,2.0,50,30,8.33,0/0,"1,942",28.0,"1,482",62.0,May-35,23.9,2.0,12.0,0.0,[181],Bowler,0
176,Marcus North,2009,2.0,2.0,0.0,6,5,3.0,0/0,18,0.0,16,0.0,,,0.0,1.0,0.0,[182],Batsman,0
177,Dirk Nannes,2009,1.0,1.0,0.0,1,1,1.0,0/0,42,1.0,20,1.0,Jan-20,20.0,0.0,0.0,0.0,[183],Batsman,0
178,Tim Paine,2009–2018,35.0,35.0,3.0,890,111,27.81,01-May,0,0.0,0,0.0,,,0.0,51.0,4.0,[184],Wicketkeeper,0
179,Moises Henriques,2009–2021,16.0,15.0,2.0,117,22,9.0,0/0,402,1.0,347,8.0,Mar-32,43.37,0.0,6.0,0.0,[185],Batsman,0
180,Graham Manou,2009,4.0,1.0,0.0,7,7,7.0,0/0,0,0.0,0,0.0,,,0.0,5.0,0.0,[186],Batsman,0
181,Clint McKay,2009–2014,59.0,31.0,10.0,190,30,9.04,0/0,"2,965",38.0,"2,364",97.0,May-28,24.37,2.0,7.0,0.0,[187],Bowler,0
182,Steve Smith,2010–,170.0,154.0,20.0,"5,800",164,43.28,Dec-35,"1,076",1.0,971,28.0,Mar-16,34.67,0.0,90.0,0.0,[188],Batsman,0
183,Josh Hazlewood,2010–,96.0,38.0,29.0,135,23*,15.0,0/0,"4,978",65.0,"3,928",142.0,Jun-52,27.66,3.0,32.0,0.0,[189],Bowler,1
184,John Hastings,2010–2017,29.0,21.0,11.0,271,51,27.1,0/1,"1,486",7.0,"1,256",42.0,Jun-45,29.9,1.0,5.0,0.0,[190],Bowler,0
185,Mitchell Starc,2010–,130.0,77.0,27.0,583,52*,11.66,0/1,"6,638",56.0,"5,826",247.0,Jun-28,23.58,9.0,47.0,0.0,[191],Bowler,1
186,Xavier Doherty,2010–2013,60.0,23.0,16.0,101,15*,14.42,0/0,"2,792",17.0,"2,224",55.0,Apr-28,40.43,0.0,19.0,0.0,[192],Bowler,0
187,Jason Krejza,2011,8.0,2.0,1.0,13,7,13.0,0/0,425,0.0,331,7.0,Feb-28,47.28,0.0,2.0,0.0,[193],Batsman,0
188,James Pattinson,2011–2015,15.0,8.0,4.0,42,13,10.5,0/0,727,6.0,681,16.0,Apr-51,42.56,0.0,3.0,0.0,[194],Batsman,0
189,Pat Cummins,2011–,90.0,59.0,22.0,537,37,14.51,0/0,"4,683",46.0,"4,116",143.0,May-70,28.78,1.0,24.0,0.0,[195],Bowler,1
190,Mitchell Marsh,2011–,99.0,95.0,12.0,"3,098",177*,37.32,Apr-20,"2,213",9.0,"2,036",57.0,May-33,35.71,1.0,36.0,0.0,[196],AllRounder,0
191,Dan Christian,2012–2021,20.0,18.0,5.0,273,39,21.0,0/0,727,4.0,595,20.0,May-31,29.75,1.0,10.0,0.0,[197],AllRounder,0
192,Matthew Wade,2012–2021,97.0,83.0,12.0,"1,867",100*,26.29,01-Nov,0,0.0,0,0.0,,,0.0,108.0,9.0,[198],Wicketkeeper,0
193,Peter Forrest,2012,15.0,14.0,0.0,368,104,26.28,01-Mar,0,0.0,0,0.0,,,0.0,4.0,0.0,[199],Batsman,0
194,Nathan Lyon,2012–2019,29.0,14.0,10.0,77,30,19.25,0/0,"1,626",11.0,"1,334",29.0,Apr-44,46.0,0.0,7.0,0.0,[200],Bowler,0
195,George Bailey,2012–2016,90.0,85.0,10.0,"3,044",156,40.58,Mar-22,0,0.0,0,0.0,,,0.0,48.0,0.0,[201],Batsman,0
196,Glenn Maxwell,2012–,149.0,136.0,18.0,"3,990",201*,33.84,Apr-23,"4,002",14.0,"3,644",77.0,Apr-40,47.32,0.0,91.0,0.0,[202],AllRounder,1
197,Aaron Finch,2013–2022,146.0,142.0,3.0,"5,406",153*,38.89,17/30,284,0.0,259,4.0,01-Feb,64.75,0.0,71.0,0.0,[203],Batsman,0
198,Phillip Hughes,2013–2014,25.0,24.0,1.0,826,138*,35.91,02-Apr,0,0.0,0,0.0,,,0.0,5.0,0.0,[204],Batsman,0
199,Usman Khawaja,2013–2019,40.0,39.0,2.0,"1,554",104,42.0,02-Dec,0,0.0,0,0.0,,,0.0,13.0,0.0,[205],Batsman,0
200,Ben Cutting,2013–2014,4.0,2.0,0.0,53,27,26.5,0/0,216,1.0,158,5.0,Mar-45,31.6,0.0,1.0,0.0,[206],Batsman,0
201,Kane Richardson,2013–2020,25.0,12.0,7.0,75,24*,15.0,0/0,"1,312",11.0,"1,240",39.0,May-68,31.79,1.0,7.0,0.0,[207],Bowler,0
202,James Faulkner,2013–2017,69.0,52.0,22.0,"1,032",116,34.4,01-Apr,"3,211",12.0,"2,962",96.0,Apr-32,30.85,0.0,21.0,0.0,[208],AllRounder,0
203,Fawad Ahmed,2013,3.0,1.0,1.0,4,4*,,0/0,144,0.0,145,3.0,Jan-39,48.33,0.0,0.0,0.0,[209],Batsman,0
204,Nathan Coulter-Nile,2013–2019,32.0,21.0,6.0,252,92,16.8,0/1,"1,678",10.0,"1,555",52.0,Apr-48,29.9,0.0,7.0,0.0,[210],Bowler,0
205,Sean Abbott,2014–,29.0,21.0,2.0,374,69,19.68,0/2,"1,331",9.0,"1,271",35.0,Mar-23,36.31,0.0,14.0,0.0,[211],AllRounder,1
206,Gurinder Sandhu,2015,2.0,0.0,0.0,0,,,0/0,120,0.0,107,3.0,Feb-49,35.67,0.0,0.0,0.0,[212],Batsman,0
207,Joe Burns,2015,6.0,6.0,0.0,146,69,24.33,0/1,0,0.0,0,0.0,,,0.0,2.0,0.0,[213],Batsman,0
208,Ashton Agar,2015–2023,21.0,17.0,4.0,274,46,21.07,0/0,"1,044",4.0,918,20.0,Feb-31,45.9,0.0,10.0,0.0,[214],Bowler,0
209,Marcus Stoinis,2015–,71.0,64.0,8.0,"1,495",146*,26.69,01-Jun,"2,071",5.0,"2,070",48.0,Mar-16,43.12,0.0,18.0,0.0,[215],AllRounder,0
210,Scott Boland,2016,14.0,4.0,1.0,9,4,3.0,0/0,716,3.0,725,16.0,Mar-67,45.31,0.0,3.0,0.0,[216],Bowler,0
211,Joel Paris,2016,2.0,0.0,0.0,0,,,0/0,96,0.0,93,1.0,Jan-40,93.0,0.0,1.0,0.0,[217],Bowler,0
212,Adam Zampa,2016–,116.0,59.0,21.0,378,36,9.94,0/0,"6,046",17.0,"5,604",196.0,May-35,28.59,1.0,20.0,0.0,[218],Bowler,1
213,Travis Head,2016–,79.0,76.0,7.0,"3,007",154*,43.57,Jul-17,"1,203",0.0,"1,152",28.0,Apr-28,41.14,0.0,19.0,0.0,[219],Batsman,0
214,Daniel Worrall,2016,3.0,1.0,1.0,6,6*,,0/0,158,0.0,171,1.0,Jan-43,171.0,0.0,1.0,0.0,[220],Batsman,0
215,Joe Mennie,2016,2.0,2.0,0.0,1,1,0.5,0/0,120,2.0,131,3.0,Mar-49,43.66,0.0,0.0,0.0,[221],Batsman,0
216,Chris Tremain,2016,4.0,3.0,2.0,23,23*,23.0,0/0,240,0.0,255,7.0,Mar-64,36.42,0.0,1.0,0.0,[222],Batsman,0
217,Chris Lynn,2017–2018,4.0,4.0,0.0,75,44,18.75,0/0,0,0.0,0,0.0,,,0.0,3.0,0.0,[223],Batsman,0
218,Billy Stanlake,2017–2019,7.0,5.0,2.0,4,2,1.33,0/0,354,3.0,324,7.0,Mar-35,46.28,0.0,1.0,0.0,[224],Batsman,0
